"local.anomaly","resid","res.color"
"2.489286","-2.25023835151641","#4292C6"
"-0.9988578","-0.398793637647723","#4292C6"
"0.8651498","0.606910451309325","#4292C6"
"0.7754472","0.441525472102933","#4292C6"
"-0.846054","0.301692193898312","#4292C6"
"0.5122672","0.79936009407923","#4292C6"
"1.493696","0.672205273091924","#4292C6"
"-0.6145927","-0.499870649805907","#4292C6"
"0.2279252","-0.668280000035812","#4292C6"
"-1.09791","0.140850681179311","#4292C6"
"-0.333187","-0.9619391281474","#4292C6"
"-1.245777","1.02879307434637","#4292C6"
"1.336923","0.845955257287206","#4292C6"
"0.5680379","-0.365950445854198","#4292C6"
"-0.0391951","-0.253023366736534","#4292C6"
"0.3206229","0.155593929691171","#4292C6"
"1.31059","0.995468544412087","#4292C6"
"1.083716","-0.50614327631378","#4292C6"
"-0.3583037","-0.885618494939781","#4292C6"
"-0.9184381","0.181788935447958","#4292C6"
"-0.8674391","0.41339978530227","#4292C6"
"0.3125126","-0.613904951016793","#4292C6"
"0.5570575","-0.939115989297291","#4292C6"
"-0.813297","0.938447927353834","#4292C6"
"0.8718724","0.258144034911941","#4292C6"
"2.501979","-1.4263912845989","#4292C6"
"-0.8683282","-0.121413376587859","#4292C6"
"0.3412663","-1.69124735912119","#4292C6"
"0.6564872","0.307236250181043","#4292C6"
"-0.01784733","0.811839934016409","#4292C6"
"-0.7450204","0.184444649759122","#4292C6"
"-1.449833","0.851543946888816","#4292C6"
"-0.1455853","-0.602981734771688","#4292C6"
"-1.117414","0.259003917137122","#4292C6"
"0.3310878","0.424730031484217","#4292C6"
"1.446757","0.377703462741086","#4292C6"
"-1.014648","-0.0110342190160555","#4292C6"
"0.8221078","0.280160686632855","#4292C6"
"-1.183769","0.374377973599735","#4292C6"
"0.2203582","-0.613572627619626","#4292C6"
"0.9217984","-0.372796576437371","#4292C6"
"0.465126","0.41107671495514","#4292C6"
"0.3398693","0.136153502715146","#4292C6"
"-1.270648","-1.0745272126707","#4292C6"
"-1.437198","0.852511726952836","#4292C6"
"0.9687633","-0.568393340699381","#4292C6"
"-0.1270844","0.270758700484027","#4292C6"
"2.355295","0.100632083200566","#4292C6"
"1.156677","0.640884837704885","#4292C6"
"-1.367945","-1.08699875500919","#4292C6"
"-0.590283","0.28842886255828","#4292C6"
"1.006459","0.206568437029896","#4292C6"
"0.3398693","0.740459874621301","#4292C6"
"1.006459","-0.426739070717124","#4292C6"
"-1.437198","-1.59374937604069","#4292C6"
"-0.590283","0.0406516308488694","#4292C6"
"-1.270648","0.626328456590452","#4292C6"
"0.465126","-0.0334983626967335","#4292C6"
"1.156677","-0.371524433885992","#4292C6"
"-0.992555","0.597170209974365","#4292C6"
"0.9687633","0.103851957147439","#4292C6"
"0.9217984","-0.0502498566154208","#4292C6"
"-0.1270844","-0.298523341066676","#4292C6"
"-1.367945","0.131398277230433","#4292C6"
"-1.300631","0.196453808953597","#4292C6"
"0.3137096","0.553600349704825","#4292C6"
"2.355295","0.0170491103577213","#4292C6"
"0.4656137","-0.0438554828916883","#4292C6"
"2.476704","-0.445104031907648","#4292C6"
"-1.176768","0.138473683997663","#4292C6"
"-0.5915113","0.347226037382454","#4292C6"
"1.154904","0.353096869331218","#4292C6"
"0.5746882","0.918968391407819","#4292C6"
"-0.006018378","-1.34013760211161","#4292C6"
"1.103461","-0.484152327447231","#4292C6"
"-0.004839684","-0.0936486303663195","#4292C6"
"0.8615959","-0.35737877377618","#4292C6"
"-1.498051","-0.31335764981402","#4292C6"
"-0.004839684","0.306919199935379","#4292C6"
"-1.442199","0.244454973170179","#4292C6"
"0.8860658","-0.385584399814799","#4292C6"
"0.3743559","0.545924664177475","#4292C6"
"1.093831","0.500895710767377","#4292C6"
"-1.148914","-0.299881206507047","#4292C6"
"-0.5376157","0.517614984737763","#4292C6"
"-1.26182","0.192377468476662","#4292C6"
"2.465792","-0.251962066109577","#4292C6"
"0.4063263","-0.500969587760198","#4292C6"
"-0.8493645","0.0323847046511652","#4292C6"
"0.3644978","0.319331122982372","#4292C6"
"0.9618249","-0.23219976371855","#4292C6"
"0.4063263","-1.57864328515805","#4292C6"
"0.8615959","0.193023642606429","#4292C6"
"0.3756374","0.0787312874696643","#4292C6"
"-0.004839684","-0.817898456108649","#4292C6"
"-0.8493645","-0.50323703360978","#4292C6"
"-0.7794177","0.828220214244708","#4292C6"
"-1.26182","0.480853196381145","#4292C6"
"1.093831","-0.568252190445109","#4292C6"
"-0.5376157","-0.0866986206233017","#4292C6"
"-1.442199","0.364657423071011","#4292C6"
"2.465792","0.404203689414493","#4292C6"
"0.9618249","0.0400993546717822","#4292C6"
